ATACchr ATACstart ATACend BIC_atacseq LR_atacseq
chr10 101142105 101142638 1.79177 6.49059e-06
chr10 101161833 101162364 0.620271 -1.17149
chr10 101195617 101195866 1.79177 9.74063e-06
chr10 101214616 101215080 1.79177 6.27618e-06
chr10 101260526 101260667 1.78107 -0.0106939
chr10 101272256 101272457 1.6285 -0.163262
chr10 101298014 101298172 1.79177 1.10718e-05
chr10 101353672 101354641 1.62029 -0.171471
chr10 101367672 101367888 1.79182 6.53039e-05
chr10 101380537 101380720 1.79176 5.52055e-06
chr10 101396773 101396891 0.899117 -0.892642
chr10 101397063 101397480 -5.27597 -7.06772
chr10 101442197 101442458 0.726454 -1.06531
chr10 101467306 101467557 -2.51519 -4.30695
chr10 101495356 101495528 0.536085 -1.25567
chr10 101569912 101570644 1.79178 2.30331e-05
chr10 101587732 101588361 -1.51814 -3.3099
chr10 101601539 101601700 1.79177 1.50822e-05
chr10 101602875 101603012 1.70411 -0.0876464
chr10 101693730 101695543 -1.11554 -2.9073
chr10 101779820 101780093 1.79192 0.000157042
chr10 101781085 101781447 0.795233 -0.996527
chr10 101783190 101783666 0.410804 -1.38096
chr10 101814895 101815024 1.79186 9.73203e-05
chr10 101817771 101819131 1.79177 8.64081e-06
chr10 101829949 101831532 -5.72459 -7.51634
chr10 101836074 101836201 1.4002 -0.391563
chr10 101840795 101841366 -3.26836 -5.06012
chr10 101843152 101843307 1.76942 -0.0223361
chr10 101843569 101844005 -4.28215 -6.07391
chr10 101889777 101889898 -0.975999 -2.76776
chr10 101897173 101897344 1.79178 1.89639e-05
chr10 101906896 101907085 1.78918 -0.00258008
chr10 101911256 101911385 1.7918 3.70175e-05
chr10 1019333 1019496 1.79178 2.18239e-05
chr10 101967819 101968007 1.79179 2.82952e-05
chr10 101973692 101973813 1.79181 4.59903e-05
chr10 101974561 101974683 1.79225 0.000493557
chr10 101983136 101983491 1.79178 2.39948e-05
chr10 101987142 101987259 1.79183 6.66453e-05
chr10 102009792 102010357 -1.43279 -3.22455
chr10 102048115 102048295 1.79177 1.05299e-05
chr10 102055548 102056420 1.79178 1.97754e-05
chr10 102064886 102065960 1.7918 4.32345e-05
chr10 102072849 102073173 1.79177 9.1484e-06
chr10 102114724 102115291 1.79178 1.99243e-05
chr10 102117613 102118248 1.79183 6.63856e-05
chr10 102119918 102120840 1.62505 -0.166707
chr10 102132528 102133342 1.79191 0.000151687
chr10 102151867 102153011 1.79176 5.02246e-06
chr10 102169372 102169895 1.79176 7.56149e-07
chr10 102188952 102189679 1.79178 1.99278e-05
chr10 102226163 102226393 1.78685 -0.00490464
chr10 102229840 102230646 1.45772 -0.334035
chr10 102231890 102231998 1.79177 1.25623e-05
chr10 102245029 102245947 1.79181 4.66855e-05
chr10 102283605 102283865 1.79178 1.58611e-05
chr10 102299994 102300146 1.20994 -0.581821
chr10 102312732 102312935 1.79177 1.2666e-05
chr10 102323045 102323207 1.5459 -0.24586
chr10 102341377 102341519 1.77839 -0.013367
chr10 102351976 102352329 1.75271 -0.0390492
chr10 102358640 102358805 1.7918 3.97108e-05
chr10 102393986 102395766 1.79177 9.68003e-06
chr10 102399383 102399766 1.79193 0.000171357
chr10 102408837 102409634 1.16656 -0.625204
chr10 102420754 102422071 1.79172 -4.2245e-05
chr10 102432271 102432828 -0.0421157 -1.83388
chr10 102435490 102436006 0.742181 -1.04958
chr10 102449668 102451092 1.79178 2.28059e-05
chr10 102461095 102461950 1.79176 3.73959e-06
chr10 102478872 102479373 1.79177 1.14142e-05
chr10 102501946 102504126 1.7918 3.61546e-05
chr10 102523235 102523398 1.79182 5.79747e-05
chr10 102583770 102584294 1.79177 1.00095e-05
chr10 102612229 102613573 1.79178 2.23449e-05
chr10 102635546 102635685 -1.72234 -3.5141
chr10 102641975 102642756 1.79177 1.31659e-05
chr10 102644235 102644466 1.79177 1.07769e-05
chr10 102644777 102645464 1.23024 -0.561518
chr10 102645844 102647230 1.7918 4.37384e-05
chr10 102660951 102661638 -2.52355 -4.31531
chr10 102673984 102674961 1.79181 4.78038e-05
chr10 102713676 102715108 1.79179 2.63211e-05
chr10 102743434 102744472 1.79177 1.04298e-05
chr10 102752527 102752742 0.090305 -1.70145
chr10 102752770 102753105 1.79188 0.000123037
chr10 102753129 102753563 1.74567 -0.0460891
chr10 102758824 102758948 1.78707 -0.00469425
chr10 102776045 102776372 1.54027 -0.251494
chr10 102777100 102777264 1.79208 0.000323127
chr10 102793919 102794047 1.79178 2.27207e-05
chr10 102796297 102796695 1.79177 1.16553e-05
chr10 102803228 102803523 0.468435 -1.32332
chr10 102834969 102835172 1.7918 3.7481e-05
chr10 102854058 102854649 1.79175 -9.08664e-06
chr10 102917249 102919053 1.79177 1.05243e-05
chr10 102936156 102936465 1.33948 -0.45228
chr10 102970285 102970405 1.79186 0.000104671
chr10 103015142 103015282 1.79177 1.30496e-05
chr10 103053864 103054747 -0.406116 -2.19788
chr10 103069365 103070161 -0.0382697 -1.83003
chr10 103123156 103123283 1.1125 -0.679257
chr10 103133008 103133198 1.36054 -0.431219
chr10 103192559 103193788 -0.339937 -2.1317
chr10 103244661 103244933 1.00251 -0.789252
chr10 103261945 103262188 1.79187 0.000112502
chr10 103350473 103351391 1.65937 -0.132389
chr10 103367744 103369013 1.4841 -0.307655
chr10 103396103 103397198 1.79183 6.63425e-05
chr10 103428772 103428898 -0.352598 -2.14436
chr10 103429203 103429972 1.79177 1.36992e-05
chr10 103451074 103451575 1.7913 -0.000457601
chr10 103451957 103452512 1.79177 9.69531e-06
chr10 103471046 103471623 1.79179 2.67268e-05
chr10 103485682 103486094 1.79181 4.73272e-05
chr10 103490674 103490912 1.67792 -0.113841
chr10 103504283 103504573 1.7919 0.000142967
chr10 103564845 103565039 1.79191 0.000146382
chr10 103584065 103585040 1.6689 -0.12286
chr10 10363806 10364000 0.676773 -1.11499
chr10 1036381 1036633 0.260723 -1.53104
chr10 103659845 103660712 1.79178 1.56148e-05
chr10 103661357 103661900 1.79177 6.62033e-06
chr10 103677910 103678621 1.47321 -0.318551
chr10 103686111 103686452 1.79177 1.02175e-05
chr10 103693047 103693699 1.79177 9.63345e-06
chr10 103696534 103696760 0.668829 -1.12293
chr10 103712894 103713154 1.79179 3.53368e-05
chr10 103745387 103745985 -0.825889 -2.61765
chr10 103757849 103758089 1.79178 2.36623e-05
chr10 1037585 1037714 1.79176 2.00658e-06
chr10 103759117 103759327 1.48639 -0.305368
chr10 103765583 103766346 1.7919 0.000136004
chr10 103771958 103772855 0.634398 -1.15736
chr10 103800836 103801024 1.79177 1.38851e-05
chr10 103804048 103804261 1.79178 2.12544e-05
chr10 103819249 103819390 1.79177 6.0581e-06
chr10 103845924 103846523 1.79177 8.87075e-06
chr10 103846585 103846799 1.79177 7.12392e-06
chr10 103855112 103855342 1.79176 4.496e-06
chr10 103859235 103859434 1.7263 -0.0654614
chr10 103888230 103888941 -1.38278 -3.17454
chr10 103890300 103890502 1.79251 0.00074616
chr10 103901360 103901611 1.13017 -0.661585
chr10 103902033 103902169 1.79176 -1.40253e-06
chr10 103908151 103909015 1.79189 0.000127564
chr10 103910852 103911443 1.79178 2.45727e-05
chr10 103916887 103917096 1.34083 -0.450927
chr10 103917453 103918816 1.79188 0.000116865
chr10 103929561 103929682 1.79186 9.77085e-05
chr10 103966693 103968474 1.79177 5.96212e-06
chr10 103983294 103983948 1.73536 -0.0564017
chr10 104028078 104028481 -3.97838 -5.77014
chr10 104093768 104093903 1.56215 -0.229612
chr10 104110061 104110216 1.49728 -0.29448
chr10 104120812 104122510 1.79177 7.79183e-06
chr10 104170284 104170406 1.79177 1.05543e-05
chr10 104170649 104171329 1.79179 3.00033e-05
chr10 104171372 104171497 1.79177 6.00939e-06
chr10 104209714 104209837 1.67475 -0.117006
chr10 104216465 104216782 1.7918 3.78425e-05
chr10 104222717 104222899 0.714281 -1.07748
chr10 104231612 104231754 1.79183 7.43101e-05
chr10 104232010 104232720 1.79194 0.000176907
chr10 104254794 104256762 0.930647 -0.861113
chr10 104260225 104261049 0.789918 -1.00184
chr10 104268038 104269428 1.79182 6.4253e-05
chr10 104274592 104275096 1.79176 -5.55421e-08
chr10 104282844 104282965 1.79178 2.15016e-05
chr10 104291105 104291873 1.79193 0.000171418
chr10 104299987 104300457 1.79177 1.2711e-05
chr10 104305695 104306150 1.79184 8.4214e-05
chr10 104308369 104308914 1.79178 2.05247e-05
chr10 104321959 104322935 1.61524 -0.176517
chr10 104328945 104329694 1.79179 2.79824e-05
chr10 104333304 104333485 0.0868228 -1.70494
chr10 104337885 104338982 1.79183 7.063e-05
chr10 104349848 104350550 1.79177 1.5123e-05
chr10 104353343 104353959 1.79178 2.3027e-05
chr10 1043539 1044075 1.78856 -0.00319957
chr10 104487726 104487850 0.940882 -0.850877
chr10 104580724 104581232 1.79177 1.18808e-05
chr10 104587160 104587422 1.79176 4.4972e-06
chr10 104715825 104715963 1.7918 3.58106e-05
chr10 1048311 1049733 1.7918 3.71273e-05
chr10 104915282 104915442 1.79177 1.49925e-05
chr10 104935582 104935940 1.73847 -0.0532908
chr10 104980431 104980831 1.7791 -0.0126582
chr10 105017180 105017390 1.79214 0.000377635
chr10 1050648 1050806 0.949777 -0.841982
chr10 105337531 105337667 1.79173 -2.80596e-05
chr10 105385852 105385972 1.79182 6.06182e-05
chr10 10540276 10540415 1.79195 0.000185649
chr10 10554986 10555173 1.7918 3.82231e-05
chr10 105579419 105579597 1.79179 2.72311e-05
chr10 1056019 1057227 0.395956 -1.3958
chr10 105665705 105665847 1.20417 -0.587592
chr10 105827389 105827518 1.79181 4.76302e-05
chr10 105837126 105837329 1.79178 1.58714e-05
chr10 105837735 105838706 1.79176 2.36413e-06
chr10 105843813 105844014 1.22713 -0.564633
chr10 10589642 10590015 0.184795 -1.60696
chr10 105903630 105903761 1.79177 1.27932e-05
chr10 105989832 105990018 1.79177 6.9026e-06
chr10 106010149 106010384 1.7918 3.78739e-05
chr10 1062993 1063815 1.77953 -0.0122263
chr10 106393004 106393263 1.79189 0.000129544
chr10 106621382 106621593 1.78787 -0.00388956
chr10 107322234 107322379 0.402495 -1.38926
chr10 107770523 107770781 1.79184 8.41161e-05
chr10 10783962 10784180 0.395444 -1.39632
chr10 108091105 108091259 1.79179 2.87334e-05
chr10 10818869 10819038 1.79182 5.82085e-05
chr10 108323210 108323374 1.792 0.000244856
chr10 10834371 10834643 1.4723 -0.319461
chr10 108389283 108389415 1.79176 2.1963e-06
chr10 108555740 108555886 1.79193 0.000171619
chr10 108566453 108566607 1.79193 0.000168195
chr10 10868224 10868446 1.79041 -0.00135339
chr10 108890925 108891076 1.19659 -0.595166
chr10 10889503 10889717 1.79177 8.72255e-06
chr10 109051863 109051991 1.79177 6.69018e-06
chr10 109118822 109119023 -1.96932 -3.76108
chr10 109339121 109339253 1.79178 2.0176e-05
chr10 109525737 109525940 1.79177 9.23861e-06
chr10 109852337 109852792 1.79177 6.62825e-06
chr10 109884366 109884547 1.79191 0.000147672
chr10 109903126 109903373 1.79177 1.36542e-05
chr10 109910332 109910536 -3.29799 -5.08975
chr10 109910646 109911017 1.76849 -0.023272
chr10 109914925 109915443 1.79188 0.000121403
chr10 109922389 109922524 1.7918 4.50623e-05
chr10 109922900 109923734 1.14686 -0.644901
chr10 109933941 109935599 1.672 -0.119762
chr10 109939685 109939833 -0.326404 -2.11816
chr10 109956801 109956929 1.78712 -0.00464271
chr10 109957849 109957996 1.79187 0.000105951
chr10 109978512 109978769 0.19431 -1.59745
chr10 110007409 110008893 0.89507 -0.896689
chr10 110010088 110010750 1.79182 6.09298e-05
chr10 110013724 110013978 1.79186 0.000101464
chr10 110022940 110023122 1.79177 1.09154e-05
chr10 110031990 110032185 1.79178 1.71979e-05
chr10 110032980 110033104 1.79177 6.23927e-06
chr10 110039916 110040355 0.32247 -1.46929
chr10 110040724 110040924 1.79178 2.36743e-05
chr10 110058053 110058263 -3.98912 -5.78088
chr10 110058391 110058785 1.79203 0.000269549
chr10 110067821 110068610 1.79182 5.7131e-05
chr10 110069603 110070247 1.79176 2.05551e-06
chr10 110076647 110077973 1.79189 0.000129958
chr10 110080943 110081134 0.494432 -1.29733
chr10 110081927 110082133 1.79177 1.13443e-05
chr10 110086070 110086196 1.79187 0.000107341
chr10 110086661 110087065 1.79177 1.18832e-05
chr10 11009533 11010056 1.74162 -0.0501432
chr10 110101574 110102497 -3.65979 -5.45155
chr10 110104085 110104346 1.79176 1.91989e-06
chr10 11010811 11010965 1.79187 0.000109811
chr10 110110338 110110652 1.52677 -0.264985
chr10 110137158 110138651 1.79067 -0.00108634
chr10 110152575 110152684 1.79172 -4.2277e-05
chr10 110156880 110157188 0.400976 -1.39078
chr10 110170243 110170352 1.79176 3.11756e-06
chr10 11017513 11018486 1.79181 5.21142e-05
chr10 110207424 110208127 1.41793 -0.373831
chr10 110209135 110210423 0.480294 -1.31147
chr10 110210711 110212611 1.79182 6.08557e-05
chr10 110221722 110222305 1.79179 3.46714e-05
chr10 110225627 110226374 0.719207 -1.07255
chr10 110232646 110232765 1.7558 -0.0359556
chr10 110237871 110238016 1.58696 -0.204804
chr10 110241578 110241837 1.79177 1.06269e-05
chr10 110269667 110269802 1.79178 2.22051e-05
chr10 110273569 110274064 0.276112 -1.51565
chr10 110278980 110279115 1.79178 2.25996e-05
chr10 110279281 110279596 1.45848 -0.333279
chr10 110287560 110287679 1.79179 3.17937e-05
chr10 110304231 110305569 1.79181 5.41621e-05
chr10 110306132 110306540 1.79178 1.99213e-05
chr10 110311597 110311763 1.79195 0.000190603
chr10 110353515 110354103 1.79178 1.94838e-05
chr10 110354189 110354710 1.79177 6.36009e-06
chr10 110356105 110357710 1.79182 6.36174e-05
chr10 11035653 11035789 1.7909 -0.00086297
chr10 110364600 110364871 -0.892558 -2.68432
chr10 110368107 110368335 1.756 -0.0357586
chr10 110387961 110388546 -0.275084 -2.06684
chr10 110414248 110415074 1.79189 0.000131807
chr10 110426018 110426392 0.634867 -1.15689
chr10 110441806 110442040 -7.04767 -8.83943
chr10 110455464 110455751 1.06405 -0.727705
chr10 110460617 110460790 -5.50609 -7.29785
chr10 110496371 110496754 1.79181 4.64414e-05
chr10 110497324 110498619 1.79179 2.78757e-05
chr10 110503723 110504554 1.79185 9.02741e-05
chr10 11050512 11050709 1.79177 9.8865e-06
chr10 110512648 110513467 -0.522101 -2.31386
chr10 110528745 110529539 -0.44942 -2.24118
chr10 110535863 110536662 -0.404897 -2.19666
chr10 110546991 110547458 1.79009 -0.0016677
chr10 110557003 110557279 0.404086 -1.38767
chr10 110566999 110568500 1.59967 -0.192092
chr10 110609793 110610550 1.57136 -0.2204
chr10 110617496 110618106 1.79177 1.22438e-05
chr10 110618337 110618556 -5.04185 -6.83361
chr10 110625616 110625757 1.23433 -0.557427
chr10 110641303 110641485 0.614214 -1.17755
chr10 110643675 110644440 1.79188 0.000115721
chr10 110671992 110672748 1.71105 -0.0807074
chr10 11070549 11070750 -1.31609 -3.10785
chr10 110723720 110724818 1.79183 6.62111e-05
chr10 110739868 110740102 1.73807 -0.0536863
chr10 110744162 110744333 1.79177 6.09029e-06
chr10 110746489 110746741 1.7914 -0.000358272
chr10 110750802 110751474 1.73729 -0.0544701
chr10 110774034 110774563 1.29121 -0.500546
chr10 110783413 110784074 1.15039 -0.641372
chr10 110802679 110803314 1.79193 0.000168701
chr10 110803993 110804421 1.7918 4.14371e-05
chr10 110817721 110817840 1.78964 -0.00212181
chr10 110834831 110835175 0.897141 -0.894618
chr10 110843018 110843471 1.50115 -0.290609
chr10 110850229 110850386 1.7917 -6.18895e-05
chr10 110850728 110850941 -2.39146 -4.18322
chr10 110852360 110852756 1.79178 2.00492e-05
chr10 110860407 110861200 1.79177 9.8008e-06
chr10 110864577 110865085 1.60253 -0.189225
chr10 110865860 110866067 1.79177 6.98321e-06
chr10 110869115 110869230 1.47352 -0.318239
chr10 110871566 110873356 1.79178 1.90666e-05
chr10 110879805 110880431 -0.559589 -2.35135
chr10 110887127 110887390 1.79176 2.60297e-06
chr10 11088793 11088980 1.70397 -0.0877874
chr10 11089258 11089475 1.77397 -0.0177938
chr10 110892651 110893094 1.79178 2.05698e-05
chr10 110893212 110894120 1.79183 7.20437e-05
chr10 110902170 110902757 0.594886 -1.19687
chr10 110903375 110903916 1.79176 4.36322e-06
chr10 110910216 110910429 1.79177 8.35432e-06
chr10 110910661 110910789 1.6661 -0.125657
chr10 110910867 110911116 1.7927 0.000938945
chr10 110918431 110919516 1.79177 1.11629e-05
chr10 110919616 110920220 1.76288 -0.0288801
chr10 110980924 110981133 1.79197 0.000208904
chr10 110992953 110993522 1.7918 4.23108e-05
chr10 1110017 1110803 1.79178 2.35695e-05
chr10 11105264 11105632 1.50184 -0.289923
chr10 111076163 111076575 -3.74697 -5.53873
chr10 111130478 111130709 1.79195 0.000186206
chr10 11113133 11113911 1.79177 1.49488e-05
chr10 11123465 11123582 1.79195 0.000186892
chr10 11141446 11141695 1.78501 -0.00675245
chr10 111420218 111420377 1.79177 6.3651e-06
chr10 11145209 11145835 1.79178 1.58054e-05
chr10 11149360 11151154 0.479101 -1.31266
chr10 11162997 11165666 1.79203 0.000267433
chr10 111632079 111632191 1.79179 3.46547e-05
chr10 111634706 111634910 1.79183 6.58771e-05
chr10 111655985 111656124 1.71688 -0.0748841
chr10 11165813 11166615 1.75486 -0.0368973
chr10 11168605 11169118 1.55555 -0.236214
chr10 11170116 11170256 1.78296 -0.0087963
chr10 11171265 11171635 1.79188 0.000125407
chr10 11176735 11176927 1.79178 2.00762e-05
chr10 11178349 11179395 1.7918 3.78666e-05
chr10 11180254 11180653 1.79177 1.3669e-05
chr10 11183213 11183332 1.79188 0.000124096
chr10 11191311 11191474 -0.26434 -2.0561
chr10 111915578 111915726 1.79177 1.14314e-05
chr10 111944318 111944491 -0.0404426 -1.8322
chr10 11198414 11199082 1.18297 -0.608788
chr10 11205519 11205656 1.53154 -0.260223
chr10 112070872 112071026 1.79181 4.63657e-05
chr10 11209035 11210050 1.79189 0.000133702
chr10 11211407 11211660 1.79243 0.0006711
chr10 112140108 112140403 1.79176 1.13326e-06
chr10 11218273 11218878 1.69146 -0.100301
chr10 112183243 112184270 1.79192 0.000162878
chr10 112195170 112195344 1.78768 -0.00408343
chr10 112210036 112210185 1.24205 -0.549705
chr10 112227009 112227139 -0.117086 -1.90885
chr10 11226001 11227281 1.79178 2.04326e-05
chr10 112314797 112315250 1.79177 6.93792e-06
chr10 11232213 11232483 0.792536 -0.999223
chr10 112326644 112326784 1.21203 -0.579727
chr10 112335790 112335950 -0.226356 -2.01812
chr10 11235258 11236504 1.79195 0.000193688
chr10 112369521 112369629 0.436857 -1.3549
chr10 112374817 112376635 1.79182 6.12803e-05
chr10 112389228 112389947 -3.63617 -5.42793
chr10 112446172 112447642 0.122223 -1.66954
chr10 11245588 11245926 0.857805 -0.933955
chr10 112471949 112472334 -4.02968 -5.82144
chr10 112519145 112519377 1.35607 -0.435688
chr10 11257050 11257188 -0.934694 -2.72645
chr10 11264588 11264799 1.79176 3.06919e-06
chr10 11270510 11270816 1.47082 -0.320943
chr10 112843424 112843684 1.59217 -0.199586
chr10 112849278 112849434 1.79177 7.48757e-06
chr10 112861785 112862001 0.0586427 -1.73312
chr10 112877121 112877275 1.79182 5.55885e-05
chr10 112880546 112880677 1.79177 1.29137e-05
chr10 112950019 112950271 1.75266 -0.0390987
chr10 112951071 112951537 1.79148 -0.000281278
chr10 112952094 112952232 1.79174 -1.52958e-05
chr10 112981612 112981803 1.79178 2.46292e-05
chr10 113006980 113008049 1.79189 0.000132564
chr10 113050983 113051091 1.79176 4.51489e-06
chr10 113126678 113126970 1.78429 -0.00747439
chr10 113168000 113168148 0.684289 -1.10747
chr10 11326726 11327037 1.79178 1.83423e-05
chr10 113305717 113305866 1.65519 -0.136568
chr10 11332450 11332641 1.79179 2.73792e-05
chr10 113325470 113325631 0.675373 -1.11639
chr10 11337425 11337767 1.79176 1.80286e-06
chr10 113382704 113382826 1.79177 1.16498e-05
chr10 113385275 113385474 1.79204 0.000285342
chr10 113554455 113554595 1.79176 4.64298e-06
chr10 113563567 113563792 1.79179 2.86953e-05
chr10 113679085 113681214 1.79178 2.35769e-05
chr10 113681961 113682079 0.0584068 -1.73335
chr10 113773676 113773829 1.28344 -0.508315
chr10 113785618 113785750 1.79176 2.97074e-06
chr10 113799544 113799717 1.79177 1.17865e-05
chr10 113851642 113851782 1.79178 2.54106e-05
chr10 113853963 113855492 1.41732 -0.37444
chr10 113960682 113962090 1.79179 3.32209e-05
chr10 114025207 114025614 1.79176 2.02505e-13
chr10 11402986 11403547 1.61803 -0.173734
chr10 114096037 114096313 1.79177 8.8218e-06
chr10 114101294 114101655 0.64796 -1.1438
chr10 114103314 114103547 1.07069 -0.721071
chr10 11414541 11414696 1.79176 2.71231e-07
chr10 114173699 114175067 1.79176 1.25814e-06
chr10 1142733 1142952 1.79179 3.22025e-05
chr10 114304067 114304972 1.07999 -0.711771
chr10 11437447 11437631 1.79183 7.25217e-05
chr10 11440337 11440661 -2.85737 -4.64913
chr10 114460239 114460468 1.79173 -3.4433e-05
chr10 114460590 114460725 1.79175 -1.21446e-05
chr10 114471022 114471794 1.79177 1.32938e-05
chr10 114487378 114487680 1.79179 2.93598e-05
chr10 114492567 114493131 1.79176 5.2049e-06
chr10 114498808 114500147 1.79186 0.00010411
chr10 114513304 114514264 1.79179 3.12735e-05
chr10 114525440 114527528 1.79178 2.21763e-05
chr10 114538487 114538782 1.7917 -5.6896e-05
chr10 114540628 114541842 1.79178 2.02833e-05
chr10 114544345 114544748 1.79178 1.74274e-05
chr10 114550493 114550669 1.79177 6.3675e-06
chr10 114613709 114613828 1.07531 -0.716445
chr10 114632050 114632333 1.79177 5.73184e-06
chr10 114694173 114694353 1.6072 -0.184562
chr10 114703543 114703893 -1.10681 -2.89857
chr10 11470646 11470883 1.16174 -0.630016
chr10 11471989 11472469 1.57121 -0.220549
chr10 114786554 114786663 1.79176 4.17001e-06
chr10 114801328 114801850 1.79176 1.96193e-06
chr10 11480629 11480798 1.79194 0.00017829
chr10 114809069 114809209 1.79176 2.25175e-06
chr10 114821266 114822707 1.79177 1.00839e-05
chr10 114856693 114857087 1.75977 -0.0319899
chr10 114876809 114877024 1.79177 8.96469e-06
chr10 114895363 114895500 1.58036 -0.211404
chr10 114937750 114938799 1.79181 4.6132e-05
chr10 114957565 114957716 1.79178 2.08727e-05
chr10 114963277 114963403 1.79177 1.541e-05
chr10 115092752 115093874 1.79179 3.12888e-05
chr10 115142830 115142967 1.79187 0.000111892
chr10 11515547 11516200 1.79178 2.39833e-05
chr10 11539266 11539474 1.75437 -0.0373936
chr10 115417052 115417179 1.79178 1.84476e-05
chr10 11552223 11552367 -3.80021 -5.59197
chr10 11554158 11554287 -5.14897 -6.94073
chr10 115542587 115542784 1.22905 -0.562707
chr10 115690229 115690347 1.79177 8.91282e-06
chr10 11578878 11579011 -4.66208 -6.45384
chr10 115800648 115800916 1.79178 2.03164e-05
chr10 11603378 11603543 1.79177 1.00349e-05
chr10 11604907 11605244 1.76575 -0.0260136
chr10 116104224 116104414 1.4095 -0.382258
chr10 11610906 11613038 1.79178 1.73406e-05
chr10 116133463 116133645 1.79181 5.0698e-05
chr10 11632306 11632466 1.79178 2.39616e-05
chr10 116385366 116385550 0.991587 -0.800172
chr10 116440988 116441159 1.79178 1.93759e-05
chr10 116723778 116724352 -2.05772 -3.84948
chr10 116742301 116742992 1.79179 2.74006e-05
chr10 116787975 116788373 0.150058 -1.6417
chr10 116797085 116797372 0.585386 -1.20637
chr10 11684481 11686111 1.79177 1.25814e-05
chr10 116848141 116848496 1.79192 0.000156564
chr10 116877092 116877214 1.7723 -0.0194641
chr10 117004959 117005141 1.79179 2.66711e-05
chr10 11710792 11711057 1.79176 3.58961e-06
chr10 117168077 117168542 0.683227 -1.10853
chr10 117174739 117175657 1.75583 -0.0359272
chr10 117175822 117176161 1.7925 0.000739022
chr10 117216702 117216999 1.79208 0.00032318
chr10 11725103 11725420 1.79095 -0.000814179
chr10 11730345 11730492 1.79182 5.60331e-05
chr10 117365730 117365909 0.279294 -1.51246
chr10 117373724 117374442 1.79181 4.84202e-05
chr10 117375058 117376290 1.79177 1.24363e-05
chr10 11742400 11742694 1.79178 2.15297e-05
chr10 117496278 117496761 1.79177 1.47549e-05
chr10 117524546 117524922 1.73551 -0.0562454
chr10 11758005 11758363 -0.286239 -2.078
chr10 117653265 117653398 -2.97001 -4.76176
chr10 117663117 117663314 1.79177 1.50515e-05
chr10 117747589 117747730 1.79182 6.53859e-05
chr10 117824430 117824656 1.79176 5.03969e-06
chr10 117830816 117831248 0.994836 -0.796923
chr10 117838906 117839098 1.79176 5.33609e-06
chr10 117927600 117927820 1.79177 1.53306e-05
chr10 11799387 11799542 1.74757 -0.0441938
chr10 118034901 118035061 1.79177 9.1647e-06
chr10 118035484 118036284 1.79178 2.44516e-05
chr10 118046104 118047233 1.79178 2.05845e-05
chr10 118147633 118147749 -3.26525 -5.05701
chr10 11823227 11823545 1.79182 6.41954e-05
chr10 11823652 11823795 1.79178 2.02316e-05
