ENSG chr ENSGStart ENSGEnd O0 O20 O60 O2H O4H O24H N0 N20 N60 N2H N4H N24H
ENSG00000005189 chr16 20806429 20849668 19 9 9 5 3 165 5 6 16 18 8 155
ENSG00000005194 chr16 57428169 57447528 675 230 259 516 732 2219 789 630 1039 953 1800 2754
ENSG00000005206 chr19 2328615 2354806 561 317 395 321 348 305 1427 1129 1809 885 1009 521
ENSG00000005238 chr9 35104112 35116341 185 68 118 102 132 114 96 92 163 170 129 81
ENSG00000005243 chr17 48026167 48038030 11 10 3 0 0 16 26 21 102 36 72 158
ENSG00000005249 chr7 107044649 107161811 426 56 72 82 89 54 45 19 175 100 110 18
ENSG00000005302 chrX 11758159 11775753 2193 1259 1549 1737 1810 1370 4512 3080 6719 3646 3963 2083
ENSG00000005339 chr16 3725054 3880726 13816 6923 7692 7875 6558 4767 18619 15167 24733 13126 11346 4860
ENSG00000005381 chr17 58269856 58280935 71 20 8 14 5 0 12 17 38 1 3 0
ENSG00000005436 chr2 75652000 75710989 670 256 194 350 730 2198 655 522 872 643 2099 2311
ENSG00000005448 chr2 74421678 74425755 252 67 65 51 44 320 269 223 229 220 106 500
ENSG00000005469 chr7 87345681 87399795 181 74 78 55 50 372 216 129 338 128 159 304
ENSG00000005471 chr7 87401697 87480435 15 12 10 16 14 3 0 14 4 7 6 0
ENSG00000005483 chr7 105014179 105114361 27003 12662 15368 14933 9724 6562 32397 25359 47114 24603 20261 6151
ENSG00000005486 chr7 75842602 75888926 5367 1991 2523 2174 1313 492 5809 5015 8940 5322 2934 628
ENSG00000005513 chr16 981808 986979 12 8 15 30 68 68 25 15 53 108 219 68
ENSG00000005700 chr6 82169983 82247754 1140 463 338 541 773 2786 1296 993 1791 1417 2279 3058
ENSG00000005801 chr11 3339261 3379222 484 281 464 658 1095 2151 1053 728 1986 1113 2825 2026
ENSG00000005810 chr13 77044655 77327050 10897 5841 5065 6442 10275 15631 14605 10615 15716 9509 19590 10969
ENSG00000005812 chr13 76992598 77027195 2539 1359 1528 1327 1078 1317 4451 3279 5978 3481 2333 1417
ENSG00000005844 chr16 30472658 30523185 6010 2270 2091 1723 1246 7156 5315 4142 6536 3741 3479 9561
ENSG00000005882 chr17 50094737 50112152 336 87 80 68 50 256 273 246 409 237 170 299
ENSG00000005884 chr17 50055968 50090481 85 34 51 50 93 272 63 72 155 80 146 450
ENSG00000005889 chrX 24149173 24216255 2887 1468 2019 2081 2367 3320 3319 2416 5075 2509 3870 1948
ENSG00000005961 chr17 44372180 44389505 370 47 21 11 21 29 78 47 77 25 27 36
ENSG00000006007 chr16 19501689 19522145 930 285 216 187 187 599 687 589 876 468 407 698
ENSG00000006015 chr19 18588685 18592336 735 143 142 112 76 349 407 320 363 182 133 652
ENSG00000006025 chr17 47807372 47821834 501 264 315 246 204 134 883 810 1289 479 417 247
ENSG00000006062 chr17 45263121 45317040 3124 1795 1726 1589 2383 4696 4955 3845 5643 2647 5131 4994
ENSG00000006116 chr16 24255553 24362801 1 2 0 0 0 2 7 1 3 0 2 0
ENSG00000006125 chr17 35578046 35726409 3889 1550 1715 4071 4153 8251 4636 3405 7891 7122 9665 8745
ENSG00000006128 chr7 97731908 97740472 0 0 0 2 7 11 0 0 0 2 2 42
ENSG00000006194 chr16 3263800 3301401 873 284 345 606 1105 894 824 608 1270 1262 2771 1125
ENSG00000006282 chr17 50543058 50555852 325 196 172 173 95 297 372 209 426 184 115 378
ENSG00000006283 chr17 50561068 50627474 4 4 7 11 11 1 13 7 82 19 8 2
ENSG00000006327 chr16 3018445 3022383 16 9 46 104 183 78 13 17 134 250 219 64
ENSG00000006432 chr14 70722526 70809534 905 639 512 281 159 524 1634 1261 1418 500 267 456
ENSG00000006451 chr7 39623483 39708124 2231 1751 3101 2772 2655 2276 4733 3425 8712 3614 5496 1832
ENSG00000006453 chr7 98291651 98401068 422 62 107 121 88 215 183 157 199 222 182 164
ENSG00000006459 chr7 140084746 140177035 4257 2382 2559 2642 1725 1420 6757 4983 8268 5632 5873 1024
ENSG00000006530 chr7 141551189 141655244 899 471 370 557 932 2360 1560 1206 1901 1075 2436 3838
ENSG00000006534 chr11 68008578 68029282 184 32 25 18 39 6 3 2 2 0 0 5
ENSG00000006555 chr1 54779712 54801267 121 50 28 53 40 94 159 123 218 95 109 137
ENSG00000006576 chr7 77798792 77957503 2455 1333 969 994 1165 2282 3057 2247 2962 1461 2772 2088
ENSG00000006607 chr2 241356243 241494841 378 334 425 407 571 1163 887 697 1465 756 1406 1251
ENSG00000006625 chr7 30496621 30504844 169 36 29 38 102 1347 100 76 134 98 299 1436
ENSG00000006634 chr7 87876216 87909541 2304 1287 786 531 428 1401 3200 2460 2877 1451 1255 1427
ENSG00000006638 chr19 3594506 3606840 23 6 5 7 10 12 14 10 18 12 10 8
ENSG00000006652 chr7 112422968 112481017 3569 3459 3733 3515 2262 3141 7108 4924 9895 6509 5312 2755
ENSG00000006659 chr19 39704306 39709444 9 0 0 1 3 1 9 1 8 3 4 16
ENSG00000006695 chr17 14069496 14208677 548 241 425 685 1022 2009 1249 859 2093 1178 2594 1775
ENSG00000006704 chr7 74453790 74602604 100 93 424 872 620 219 209 224 1271 953 1153 243
ENSG00000006712 chr19 39385852 39391195 1351 543 1149 1748 1486 2048 1534 1327 3203 2860 2717 2192
ENSG00000006740 chr17 12789539 12991643 4 1 3 2 1 3 10 1 11 0 6 7
ENSG00000006744 chr17 12992391 13018187 1257 485 659 743 1304 4234 2248 1777 2835 1591 2612 5853
ENSG00000006747 chr7 12570577 12660179 4 5 10 10 10 5 6 3 4 4 16 6
ENSG00000006756 chrX 2903970 2929351 51 25 14 14 20 26 18 21 15 6 8 26
ENSG00000006757 chrX 7898247 7927739 91 36 34 25 32 284 27 47 97 47 74 203
ENSG00000006831 chr12 1688574 1788678 849 637 1677 1682 1925 3051 1978 1334 4228 2787 3744 2682
ENSG00000006837 chr5 134286350 134371047 256 112 121 105 140 275 396 295 504 197 346 202
ENSG00000007001 chr2 157876702 158136154 17 11 17 26 52 60 24 19 48 42 80 32
ENSG00000007038 chr16 2817180 2826304 14 12 0 5 22 79 29 22 37 30 38 224
ENSG00000007047 chr19 45079288 45305283 1024 341 349 276 406 763 786 639 732 470 609 966
ENSG00000007062 chr4 15963076 16084378 50 20 2 8 5 22 71 38 107 22 24 15
ENSG00000007129 chr19 41549518 41586844 1163 477 427 415 271 405 1301 969 1883 966 821 720
ENSG00000007168 chr17 2593210 2685615 4065 3020 5557 5213 3578 6456 7773 5924 14971 8679 7025 6355
ENSG00000007171 chr17 27756766 27800499 9 4 0 4 0 0 2 0 12 0 2 1
ENSG00000007202 chr17 28614440 28645454 3273 1439 1718 1950 2724 10016 5042 3811 6657 3861 6332 11789
ENSG00000007237 chr17 9910609 10198551 935 424 621 634 274 43 165 143 678 284 358 32
ENSG00000007255 chr19 45162928 45178237 410 107 111 115 171 128 321 265 425 217 284 163
ENSG00000007312 chr17 63928740 63932354 112 52 32 9 10 250 39 45 38 20 13 293
ENSG00000007314 chr17 63938554 63972918 2 3 1 4 11 2 7 3 8 2 7 2
ENSG00000007341 chr1 112523518 112620825 799 384 672 708 519 542 1028 723 2228 1437 1479 620
ENSG00000007350 chrX 154295671 154330350 76 30 12 15 5 1 21 35 26 19 23 0
ENSG00000007376 chr16 784974 788397 245 77 64 52 90 992 218 140 241 188 164 1225
ENSG00000007384 chr16 58059 76355 3 1 6 6 2 32 8 4 19 4 14 19
ENSG00000007392 chr16 188969 229463 1915 1769 2116 1918 2007 2007 4795 3449 6707 3148 4615 1916
ENSG00000007516 chr16 1333601 1349441 75 39 18 32 36 16 172 106 240 101 104 9
ENSG00000007541 chr16 566995 584136 342 106 129 169 255 365 298 332 582 344 501 661
ENSG00000007545 chr16 1612325 1677908 332 201 249 237 331 522 500 378 638 398 537 542
ENSG00000007866 chr6 35473597 35497076 4 3 4 8 7 32 8 4 14 15 19 44
ENSG00000007923 chr1 6634168 6701924 555 252 350 600 1212 3638 1260 903 1700 892 2401 4020
ENSG00000007944 chr6 16129125 16148248 4899 2429 2499 1788 978 338 5734 4232 6411 2889 2042 405
ENSG00000007968 chr1 23506430 23531220 95 33 23 13 7 147 51 45 55 19 7 248
ENSG00000008018 chr6 170535117 170553341 2746 928 789 861 1001 4861 2791 2116 3110 1903 2916 5025
ENSG00000008056 chrX 47571898 47619853 65 13 19 17 6 38 10 6 8 10 1 6
ENSG00000008083 chr6 15246296 15522040 8238 6179 9280 24361 32557 15776 8499 5815 22121 20905 68526 7256
ENSG00000008086 chrX 18425583 18653629 244 183 334 565 469 147 446 350 1229 793 770 139
ENSG00000008128 chr1 1702730 1724324 996 726 683 471 544 588 2443 1979 2857 902 1079 726
ENSG00000008130 chr1 1751232 1780457 468 229 288 578 1245 2085 394 245 616 665 2631 2403
ENSG00000008226 chr3 38039205 38124025 212 108 133 131 68 10 261 197 538 291 288 25
ENSG00000008277 chr7 87934143 88202889 122 46 45 51 38 99 135 93 200 59 69 196
ENSG00000008282 chr7 106090503 106112576 1621 500 434 448 457 616 1837 1261 1799 1419 1119 992
ENSG00000008283 chr17 63432304 63446378 290 92 142 139 131 306 277 228 395 184 194 244
ENSG00000008294 chr17 50962174 51120865 3946 2973 5340 14784 12792 4198 7330 5322 15907 18024 29475 3469
ENSG00000008300 chr3 48636469 48662915 113 92 96 51 154 694 332 244 339 186 481 738
ENSG00000008311 chr7 122075647 122144280 44 14 36 27 23 63 92 61 86 47 35 79
ENSG00000008324 chr3 42581840 42595114 483 173 196 236 187 728 417 401 643 470 394 697
ENSG00000008382 chr19 4343527 4360086 206 89 47 52 59 391 162 131 146 64 63 443
ENSG00000008394 chr12 16347142 16609259 59 15 18 12 27 82 4 2 2 2 3 8
ENSG00000008405 chr12 106991364 107093829 4154 3723 5222 5432 4275 1884 9395 6963 14051 8484 10957 1811
ENSG00000008441 chr19 12995608 13098796 194 40 44 75 257 516 79 90 133 86 816 746
ENSG00000008513 chr8 133454848 133571940 5880 2734 3409 2794 1832 3343 6737 5185 10819 4499 2918 2652
ENSG00000008516 chr16 3046681 3060726 175 42 63 26 10 20 14 19 11 12 11 12
ENSG00000008517 chr16 3065297 3082192 3838 882 1037 1266 1984 8426 2089 1546 2049 1550 3413 10024
ENSG00000008710 chr16 2088710 2135898 1566 851 929 600 523 1514 1970 1517 2197 933 1084 2135
ENSG00000008735 chr22 50600685 50613981 4 0 3 1 1 36 10 6 11 11 3 13
ENSG00000008838 chr17 40019097 40061215 824 435 520 754 914 3737 1726 1423 2440 1577 1956 4928
ENSG00000008869 chr2 36968383 37084342 1650 772 836 1000 931 2439 2321 1598 3064 1958 2163 1820
ENSG00000008988 chr8 56067295 56074581 67705 14955 13587 13074 13384 22341 31254 28263 35993 33267 28444 21388
ENSG00000009307 chr1 114716913 114758676 36926 11807 10406 9941 9074 18482 31940 25600 33444 23373 23749 23546
ENSG00000009335 chr7 157138913 157269372 2377 1211 1234 2773 5037 9266 2801 2182 4960 3830 9275 8979
ENSG00000009413 chr6 111299028 111483715 2482 1818 2716 2693 2421 3442 4400 3164 9186 4398 5681 2821
ENSG00000009724 chr1 11026523 11047233 16 3 6 1 6 8 14 17 9 3 6 0
ENSG00000009780 chr1 27725979 27763122 923 440 324 267 225 400 1138 961 1495 764 437 423
ENSG00000009790 chr1 209756032 209782320 1668 742 1011 955 544 3028 2382 1811 5278 3222 2072 3747
ENSG00000009830 chr14 77274956 77320884 94 72 92 73 150 435 180 131 230 109 264 605
ENSG00000009844 chr6 142147162 142224689 1109 580 740 806 862 2140 2338 1770 3367 1794 2392 2266
ENSG00000009954 chr7 73440398 73522278 2921 1436 1494 1757 2437 7526 3645 2868 4592 3303 5058 7288
ENSG00000010017 chr6 13621498 13711564 5624 3049 3283 4340 3834 2712 8359 5929 10768 7157 9042 3729
ENSG00000010030 chr6 36354091 36387800 36 12 25 35 216 199 35 36 84 42 367 111
ENSG00000010072 chr1 231337104 231355023 558 395 368 259 213 426 970 836 1268 545 480 440
ENSG00000010165 chr1 171781664 171814023 100 38 93 287 655 1999 148 116 498 658 1276 2261
ENSG00000010219 chr12 4562204 4615302 160 21 44 69 122 340 84 62 274 187 226 500
ENSG00000010244 chr17 32350109 32381886 11214 3619 4496 4697 5187 7758 9482 8069 13961 9419 12157 10485
ENSG00000010256 chr3 48599002 48610976 1169 337 387 427 647 2859 842 679 989 797 1130 3762
ENSG00000010270 chr7 38178222 38230671 949 487 460 366 333 1193 1091 806 1162 841 723 1073
ENSG00000010278 chr12 6199715 6238271 101 8 45 50 42 66 17 10 31 36 57 104
ENSG00000010292 chr12 6493356 6531955 1039 357 260 187 176 2527 906 748 1010 621 591 3038
ENSG00000010295 chr12 6538375 6556083 300 149 169 134 85 345 300 274 410 197 208 398
ENSG00000010310 chr19 45668244 45683724 37 20 15 24 46 47 43 41 68 36 68 23
ENSG00000010318 chr3 52410657 52423641 467 115 111 44 61 187 396 332 316 270 126 179
ENSG00000010319 chr3 52433053 52445085 14 11 13 2 7 0 43 14 59 11 5 2
ENSG00000010322 chr3 52455118 52493071 2537 1401 1461 1215 1085 1938 4115 3210 4765 2088 2271 2523
ENSG00000010327 chr3 52495338 52524495 120 68 81 84 38 13 29 14 31 9 15 1
ENSG00000010361 chr19 49806869 49817376 321 124 135 152 111 357 388 357 658 289 147 250
ENSG00000010379 chr12 220621 262873 2 0 3 3 2 14 9 5 27 4 8 3
ENSG00000010404 chrX 149476990 149521096 8630 4932 5935 5956 4888 1966 13539 11197 20452 12317 10862 2373
ENSG00000010539 chr16 3222325 3236221 146 87 215 245 327 741 262 174 859 456 569 413
ENSG00000010610 chr12 6786858 6820808 5493 1555 1225 762 516 3518 2762 2202 3094 1455 1314 4259
ENSG00000010626 chr12 6873569 6914243 349 123 219 107 76 89 535 417 826 273 96 56
ENSG00000010671 chrX 101349447 101390796 284 38 26 22 25 39 28 11 18 16 17 8
ENSG00000010803 chr1 41027200 41242154 1882 1065 808 900 1339 3458 2965 2210 2767 1453 3157 2151
ENSG00000010810 chr6 111660332 111873452 34606 24260 39457 72170 66619 27412 66226 48430 143949 89226 160945 33945
ENSG00000010818 chr6 142751467 142945201 8460 5001 17390 36879 36259 13077 14372 10237 54196 42646 70584 8094
ENSG00000011007 chr1 23743155 23762059 1394 450 541 754 1100 2195 1042 926 1847 1540 2214 2987
ENSG00000011021 chr1 11806096 11843144 419 256 395 305 291 823 774 593 1144 524 597 805
ENSG00000011028 chr17 62627401 62693597 55 34 36 48 102 267 98 50 134 81 197 404
ENSG00000011105 chr12 3077355 3286564 60 29 39 59 57 125 49 28 91 53 47 79
ENSG00000011114 chr14 93237550 93333092 946 644 1091 1257 1284 1639 1635 1320 3148 1661 2186 1283
ENSG00000011132 chr19 3750819 3761699 675 340 475 674 782 792 803 606 1385 898 1224 787
ENSG00000011143 chr17 58205437 58219605 58 16 30 65 34 346 124 66 221 131 119 631
ENSG00000011198 chr3 43690113 43734371 646 524 474 363 305 818 1067 716 1194 627 647 671
ENSG00000011243 chr19 15380048 15419141 2527 1126 1461 1444 1433 1496 3436 2855 5314 2734 2769 1815
ENSG00000011258 chr17 51177425 51260163 1503 1051 1182 1064 1600 1331 3179 2220 3879 1915 3776 1056
ENSG00000011260 chr17 51260528 51297936 2143 1134 864 857 1510 3321 3446 2440 3089 2078 4332 3847
ENSG00000011275 chr7 5620047 5781739 6265 4826 4280 4567 3407 3954 11166 8411 15441 8239 9363 4657
ENSG00000011295 chr17 15999380 16045015 2550 2011 2031 1427 1866 1834 4936 3693 6248 2626 3866 1759
ENSG00000011304 chr19 797075 812327 4400 1745 2518 3841 6722 19154 5192 4299 9146 7264 12924 27860
ENSG00000011332 chr19 38211006 38229714 0 0 0 0 3 1 6 3 3 2 2 9
ENSG00000011347 chr11 61515313 61581148 1 2 8 1 15 20 4 2 6 3 20 21
ENSG00000011376 chr3 45388506 45549421 1215 644 569 618 906 2447 1882 1374 2314 1147 1943 2282
ENSG00000011405 chr11 17077730 17207983 2873 2055 1783 1429 1274 2225 5566 4053 6058 2883 2806 2304
ENSG00000011422 chr19 43646095 43670547 2019 666 560 498 482 653 80 92 307 184 166 110
ENSG00000011426 chr7 36389806 36453791 89 19 21 14 1 373 35 38 32 14 2 170
ENSG00000011454 chr9 122940833 123104866 2107 1183 1381 2015 2080 3071 3380 2480 5107 3121 4512 2013
ENSG00000011478 chr19 45692483 45703989 163 74 163 189 251 389 209 224 818 446 416 391
ENSG00000011485 chr19 46346994 46392981 373 177 277 467 933 4650 455 353 794 608 1711 5098
ENSG00000011523 chr2 65056366 65087004 1652 774 701 537 324 157 2056 1493 2249 1349 865 199
ENSG00000011566 chr2 39249266 39437312 1257 660 946 1171 1412 1657 1611 1133 1911 1195 2261 1237
ENSG00000011590 chr19 35704527 35717038 50 15 34 141 253 1208 72 35 189 181 720 1729
ENSG00000011600 chr19 35904401 35908295 2375 410 328 243 159 35 24 21 46 17 23 3
ENSG00000012048 chr17 43044295 43170245 75 37 9 6 7 2717 35 42 79 25 35 2433
ENSG00000012061 chr19 45407333 45478828 1862 839 2313 778 340 457 1424 1203 2380 882 871 1822
ENSG00000012124 chr19 35319261 35347355 193 63 87 78 87 99 15 18 12 13 14 7
ENSG00000012171 chr3 50267558 50277546 28 33 26 20 8 1 115 74 76 46 17 4
ENSG00000012174 chrX 21839636 21885424 267 138 88 78 70 131 368 234 315 175 296 333
ENSG00000012211 chrX 49175264 49186528 55 10 26 22 49 221 30 22 50 34 69 315
ENSG00000012223 chr3 46435645 46485234 1370 341 297 209 157 6 0 1 4 4 12 2
ENSG00000012232 chr8 28600469 28755599 240 67 132 116 120 798 212 132 517 268 209 892
ENSG00000012660 chr6 53267398 53349179 9685 6731 9391 5978 5475 6472 15223 11395 21446 6929 9165 5943
ENSG00000012779 chr10 45374176 45446119 532 200 165 176 126 20 92 69 153 79 123 16
ENSG00000012817 chrY 19703865 19744939 0 0 0 0 0 0 3491 2596 3486 2120 1671 1120
ENSG00000012822 chr12 53708517 53727745 916 434 537 451 440 271 1322 1026 1413 871 809 161
ENSG00000012963 chr14 93207056 93229215 444 157 157 193 163 1276 389 363 548 549 443 1339
ENSG00000012983 chr14 50418501 50561126 2190 1086 887 1225 2142 2969 3240 2455 3451 2058 4727 3148
ENSG00000013016 chr2 31234337 31269447 69 12 9 8 11 154 16 21 36 11 20 137
ENSG00000013275 chr19 39971005 39981441 1058 477 611 812 1243 5063 1549 1182 2196 1613 2657 5791
ENSG00000013288 chr4 6575175 6623362 1387 560 624 496 342 1097 1558 1288 2054 936 702 856
ENSG00000013297 chr3 170418865 170860380 10 1 7 12 7 9 2 2 22 17 17 4
ENSG00000013306 chr17 44319625 44324870 1908 503 391 279 700 2216 802 693 1116 652 1652 6736
ENSG00000013364 chr16 29820394 29848039 2860 953 1022 851 1143 2606 2723 2128 3101 1666 1541 3642
ENSG00000013374 chr7 151341699 151378449 3540 1199 867 667 531 1485 3378 2656 3230 1604 1472 1550
ENSG00000013375 chr6 83161150 83193936 437 354 327 283 201 663 898 726 1310 509 489 621
ENSG00000013392 chr6 83193379 83198932 75 27 19 10 6 39 52 51 46 45 35 37
ENSG00000013441 chr2 200853009 200864744 13509 9591 9390 5570 3594 1881 27010 19480 30340 13594 9337 2350
ENSG00000013503 chr12 106357658 106510198 303 171 189 277 330 2189 537 388 1046 556 739 2392
ENSG00000013523 chr14 76786178 76826246 410 184 142 229 396 581 368 264 514 332 963 700
ENSG00000013561 chr5 141958328 141990291 378 140 225 358 350 1289 457 360 942 752 923 1275
ENSG00000013563 chrX 154401238 154412112 335 89 98 110 72 254 361 234 384 146 133 193
ENSG00000013583 chr12 12974864 13000273 230 58 54 36 50 162 90 120 144 57 89 248
ENSG00000013588 chr12 12890782 12917937 4 12 18 20 21 7 9 16 15 8 11 6
ENSG00000013619 chrX 150361422 150514178 66 58 233 1699 3586 715 137 71 779 1437 8209 522
ENSG00000013725 chr11 60971680 61020377 16975 9910 10405 15226 12959 18221 27984 21610 39986 24203 27035 21785
ENSG00000013810 chr4 1721490 1745176 1973 946 996 737 462 1936 2645 2123 3033 1286 817 2390
ENSG00000014123 chr6 96521595 96555276 1010 533 484 432 335 1093 2062 1583 2450 1440 1141 1301
ENSG00000014138 chr11 65261762 65305589 444 186 278 448 439 3086 655 586 1265 714 774 3435
ENSG00000014164 chr8 143437655 143541453 596 458 608 882 1249 1363 1292 959 1991 1264 1746 1098
ENSG00000014216 chr11 65180566 65212006 1146 468 350 351 330 2385 934 656 1145 583 669 2214
ENSG00000014641 chr2 63588609 63607197 1732 749 573 566 707 3512 2406 1606 2454 1529 1786 4162
ENSG00000014824 chr4 41990472 42090457 1250 596 679 829 782 2234 2096 1605 3572 1981 2461 2352
ENSG00000014914 chr1 149928651 149936898 52 19 12 25 5 60 7 2 1 3 12 33
ENSG00000014919 chr10 99711844 99732100 268 73 85 127 143 783 218 169 408 285 337 927
ENSG00000015133 chr14 91271323 91417844 14876 9790 9027 7737 4934 4207 21149 16756 25936 11358 10112 4037
ENSG00000015153 chr12 42157104 42238349 2678 2104 2509 1426 1370 1539 4977 3854 5871 2125 2993 1155
ENSG00000015171 chr10 134465 254637 1259 492 680 1052 1490 2246 1420 1091 2990 2066 3838 2614
ENSG00000015285 chrX 48676596 48691427 2097 585 581 391 317 1718 966 977 1177 634 487 2458
ENSG00000015413 chr16 89613308 89638456 9 2 1 0 2 6 1 1 4 1 0 5
ENSG00000015475 chr22 17734138 17774770 813 440 496 502 604 638 689 462 1045 605 1077 751
ENSG00000015479 chr5 139293648 139331359 1475 1147 898 559 601 693 2725 1978 2736 924 1269 431
ENSG00000015520 chr7 44512535 44541315 11 15 12 5 2 2 36 21 49 12 9 6
